subnum,group,sex,actuhap,ideahap,depress,rigoract,cultatt,temperatt
3114,2,0,0.757582237,0.778127064,15, ,5.5,1.166666667
5201,3,0,1.12024573,0.930695806,10,0,4.833333333,0.333333333
5202,3,0,-0.179337358,0.856620208,25,0,3.166666667,0.333333333
5203,3,0,0.013795181,0.701862406,13,0,3,0
5204,3,0,-0.542217668,-0.286589225,23,1,4,0
5205,3,0,0.114707867,0.25916722,32,1,4.666666667,-1.5
5206,3,0,0.920157538,0.510753918,23,2,4.5,-0.166666667
5207,3,0,-0.495719832,0.449013255,12,0,3,-0.333333333
5208,3,0,-0.553446042,0.22986425,18,0,3.833333333,0.333333333
5209,3,0,0.094648998,0.490234301,11,0,2.833333333,0.666666667
5210,3,0,-0.542217668,0.61319634,10,0,3.166666667,0.166666667
5211,3,0,-0.122282624,0.471642314,10,0,2.833333333,0.833333333
5212,3,0,-0.153770349,0.646691761,1,1,4.5,0.666666667
5213,3,0,-0.388499263,0.121267813,12,0,2.833333333,-0.166666667
5214,3,0,0.104257207,0.374653772,14,0,6,0.666666667
5215,3,0,-0.621059003,0.200911544,34,0,3.333333333,-0.333333333
5216,3,0,-0.080064077,0.195421425,10,0,2.5,0.333333333
5217,3,0,-0.856637317,0.758854578,21,0,4.333333333,0.833333333
5218,3,0,0.844322,0.486512773,15,0,3.333333333,0.666666667
5219,3,0,-0.738548946,-0.423413087,21,0,3.5,-0.333333333
5220,3,0,-0.489083488,0.744812344,8,0,2.333333333,-0.5
5221,3,0,0.490683672,0.462527953,10,0,3.333333333,0.5
5222,3,0,0.821244549,1.027428622,8,0,3.333333333,1.166666667
5224,3,0,1.349453601,1.108327319,12,1,3.666666667,-0.166666667
5225,3,0,-0.705541823,0.747371667,20,0,3.666666667,-0.333333333
5227,3,0,-0.241481171,-0.146385011,14,0,2.666666667,-0.333333333
5228,3,999,0.316591874,0.192120946,1,1,3,1
5231,3,0,-0.650413891,-0.096945842,14,0,2.333333333,0
5232,3,0,-0.657535506,0.662243411,16,1,3.5,0.333333333
5233,3,0,0.251976315,0.306304414,11,0,4.666666667,0.5
5234,3,0,0.367111549,0.71139,27,0,4.166666667,-1.333333333
5237,3,0,-0.617223251,0.590848666,23,1,3.166666667,-0.5
5238,3,0,0.571026983,0.450598129,28,2,3.166666667,-0.333333333
5239,3,0,0.996615896,0.618078375,6,7,3.833333333,1.166666667
5240,3,0,0.038725531,0.676447505,19,2,3.5,-1.166666667
5242,3,0,0.456118825,0.5078745,10,1,4.166666667,0.666666667
5244,3,0,-0.398962499,0.26647402,27,0,3.5,-0.833333333
5245,3,0,-0.822132107,0.09471061,12,0,2.666666667,-0.333333333
5246,3,0,1.138498749,0.967168488,30,0,4.5,0
5247,3,1,0.749139531,1.259251478,6,0,5.166666667,0.666666667
5248,3,1,-0.561360891,0.832704165,29,0,3,-0.833333333
5249,3,1,0.057367914,0.524541448,16,0,4.666666667,0.333333333
5250,3,999,0.692934867,-0.171032892,11,0,2.166666667,0.5
5251,3,1,1.172590415,0.147799392,7,0,4.166666667,0.666666667
5252,3,1,-0.029729698,0.168763185,13,1,2.666666667,-0.333333333
5253,3,1,-0.552735258,-0.23492229,6,2,3.833333333,0.666666667
5254,3,1,0.169106026,0.255376959,20,4,3.166666667,0.833333333
5255,3,1,-0.340168026,-0.24633232,16,0,2.5,-0.333333333
5256,3,1,0.047344296,0.352032972,12,0,4.333333333,-1
5258,3,1,-0.421575758,0.351348272,18,1,1.833333333,0.333333333
5259,3,1,-0.642683609,-0.13600604,27,0,2.333333333,-1.666666667
5260,3,1,-0.157386064, ,24,1,3.166666667,-1
5261,3,1,-0.361456767,0.116774842,31,0,2.833333333,-1.333333333
5262,3,1,1.495454172,0.656974538,25,0,3.166666667,-0.166666667
5263,3,1,-0.079388419,-0.079388419,5,0,3.833333333,0.666666667
5264,3,1,0.053099424,0.633222244,45,0,3.833333333,-1
5265,3,1,0.632455532,0.818864707,16,1,6,0
5266,3,1,-0.472455591,-0.142993392,21,0,3.166666667,-0.333333333
5267,3,1,-0.296078263,0.340914594,21,0,3.166666667,-0.333333333
5268,3,1,0.360983213,0.593959137,16,1,3.5,0.166666667
5269,3,1,-0.472837771,0.766050946,17,1,3,0
5271,3,1,-0.675845335,0.446324292,17,0,3.166666667,-1
5272,3,1,0.306186218,0.686030877,16,2,5,1.333333333
5273,3,1,0.471404521,1.158132048,5,2,3.833333333,1.166666667
5274,3,1,-0.012598816,0.065629647,23,1,4.5,0.333333333
5276,3,1,0.631941967,0.811581854,15,0,2.333333333,-0.5
5277,3,1,0.828078671,0.464525797,23,0,3.5,0.833333333
5278,3,1,-1.045589333,0.815731117,10,1,3.833333333,-1.5
5279,3,1,0.070321085,0.307319503,50,0,3.666666667,-1.666666667
5281,3,1,0.177808675,-0.220636013,6,0,5,-0.333333333
5282,3,1,0.875034063,0.736379059,2,0,5.166666667,1
5283,3,1,-0.079388419,0.430945804,9,3,1.166666667,1
